"","Species","Region","Country","Origin"
"182","Acacia cyclops","america","Alaska","Unknown"
"183","Acacia cyclops","america","Canada","Unknown"
"184","Acacia cyclops","america","Caribbean Territories","Unknown"
"185","Acacia cyclops","america","Central Pacific Territories","Unknown"
"186","Acacia cyclops","america","Hawaii","Unknown"
"187","Acacia cyclops","america","Mexico","Unknown"
"188","Acacia cyclops","europe","Albania","Unknown"
"189","Acacia cyclops","europe","Austria","Unknown"
"190","Acacia cyclops","europe","Azores","Unknown"
"191","Acacia cyclops","europe","Belgium","Unknown"
"192","Acacia cyclops","europe","Islas_Baleares","Unknown"
"193","Acacia cyclops","europe","Britain","Unknown"
"194","Acacia cyclops","europe","Bulgaria","Unknown"
"195","Acacia cyclops","europe","Corse","Unknown"
"196","Acacia cyclops","europe","Kriti","Unknown"
"197","Acacia cyclops","europe","Czechoslovakia","Unknown"
"198","Acacia cyclops","europe","Denmark","Unknown"
"199","Acacia cyclops","europe","Faroer","Unknown"
"200","Acacia cyclops","europe","Finland","Unknown"
"201","Acacia cyclops","europe","France","Unknown"
"202","Acacia cyclops","europe","Germany","Unknown"
"203","Acacia cyclops","europe","Greece","Unknown"
"204","Acacia cyclops","europe","Ireland","Unknown"
"205","Acacia cyclops","europe","Switzerland","Unknown"
"206","Acacia cyclops","europe","Netherlands","Unknown"
"207","Acacia cyclops","europe","Spain","Unknown"
"208","Acacia cyclops","europe","Hungary","Unknown"
"209","Acacia cyclops","europe","Iceland","Unknown"
"210","Acacia cyclops","europe","Italy","Unknown"
"211","Acacia cyclops","europe","Jugoslavia","Unknown"
"212","Acacia cyclops","europe","Portugal","Unknown"
"213","Acacia cyclops","europe","Norway","Unknown"
"214","Acacia cyclops","europe","Poland","Unknown"
"215","Acacia cyclops","europe","Romania","Unknown"
"216","Acacia cyclops","europe","USSR","Unknown"
"217","Acacia cyclops","europe","Sardegna","Unknown"
"218","Acacia cyclops","europe","Svalbard","Unknown"
"219","Acacia cyclops","europe","Sicilia","Unknown"
"220","Acacia cyclops","europe","Sweden","Unknown"
"221","Acacia cyclops","europe","Turkey","Unknown"
"222","Acacia cyclops","europe","USSR_Northern_Division","Unknown"
"223","Acacia cyclops","europe","USSR_Baltic_Division","Unknown"
"224","Acacia cyclops","europe","USSR_Central_Division","Unknown"
"225","Acacia cyclops","europe","USSR_South_western","Unknown"
"226","Acacia cyclops","europe","USSR_Krym","Unknown"
"227","Acacia cyclops","europe","USSRSouth_eastern_Division","Unknown"
"228","Acacia dealbata","america","Continental US","Unknown"
"229","Acacia dealbata","america","Alaska","Unknown"
"230","Acacia dealbata","america","Canada","Unknown"
"231","Acacia dealbata","america","Caribbean Territories","Unknown"
"232","Acacia dealbata","america","Central Pacific Territories","Unknown"
"233","Acacia dealbata","america","Hawaii","Unknown"
"234","Acacia dealbata","america","Mexico","Unknown"
"235","Acacia dealbata","europe","Albania","Unknown"
"236","Acacia dealbata","europe","Austria","Unknown"
"237","Acacia dealbata","europe","Azores","Unknown"
"238","Acacia dealbata","europe","Belgium","Unknown"
"239","Acacia dealbata","europe","Islas_Baleares","Unknown"
"240","Acacia dealbata","europe","Britain","Unknown"
"241","Acacia dealbata","europe","Bulgaria","Unknown"
"242","Acacia dealbata","europe","Corse","Unknown"
"243","Acacia dealbata","europe","Kriti","Unknown"
"244","Acacia dealbata","europe","Czechoslovakia","Unknown"
"245","Acacia dealbata","europe","Denmark","Unknown"
"246","Acacia dealbata","europe","Faroer","Unknown"
"247","Acacia dealbata","europe","Finland","Unknown"
"248","Acacia dealbata","europe","France","Unknown"
"249","Acacia dealbata","europe","Germany","Unknown"
"250","Acacia dealbata","europe","Greece","Unknown"
"251","Acacia dealbata","europe","Ireland","Unknown"
"252","Acacia dealbata","europe","Switzerland","Unknown"
"253","Acacia dealbata","europe","Netherlands","Unknown"
"254","Acacia dealbata","europe","Spain","Unknown"
"255","Acacia dealbata","europe","Hungary","Unknown"
"256","Acacia dealbata","europe","Iceland","Unknown"
"257","Acacia dealbata","europe","Italy","Unknown"
"258","Acacia dealbata","europe","Jugoslavia","Unknown"
"259","Acacia dealbata","europe","Portugal","Unknown"
"260","Acacia dealbata","europe","Norway","Unknown"
"261","Acacia dealbata","europe","Poland","Unknown"
"262","Acacia dealbata","europe","Romania","Unknown"
"263","Acacia dealbata","europe","USSR","Unknown"
"264","Acacia dealbata","europe","Sardegna","Unknown"
"265","Acacia dealbata","europe","Svalbard","Unknown"
"266","Acacia dealbata","europe","Sicilia","Unknown"
"267","Acacia dealbata","europe","Sweden","Unknown"
"268","Acacia dealbata","europe","Turkey","Unknown"
"269","Acacia dealbata","europe","USSR_Northern_Division","Unknown"
"270","Acacia dealbata","europe","USSR_Baltic_Division","Unknown"
"271","Acacia dealbata","europe","USSR_Central_Division","Unknown"
"272","Acacia dealbata","europe","USSR_South_western","Unknown"
"273","Acacia dealbata","europe","USSR_Krym","Unknown"
"274","Acacia dealbata","europe","USSRSouth_eastern_Division","Unknown"
"275","Acacia longifolia","america","Continental US","Unknown"
"276","Acacia longifolia","america","Alaska","Unknown"
"277","Acacia longifolia","america","Canada","Unknown"
"278","Acacia longifolia","america","Caribbean Territories","Unknown"
"279","Acacia longifolia","america","Central Pacific Territories","Unknown"
"280","Acacia longifolia","america","Hawaii","Unknown"
"281","Acacia longifolia","america","Mexico","Unknown"
"282","Acacia longifolia","europe","Albania","Unknown"
"283","Acacia longifolia","europe","Austria","Unknown"
"284","Acacia longifolia","europe","Azores","Unknown"
"285","Acacia longifolia","europe","Belgium","Unknown"
"286","Acacia longifolia","europe","Islas_Baleares","Unknown"
"287","Acacia longifolia","europe","Britain","Unknown"
"288","Acacia longifolia","europe","Bulgaria","Unknown"
"289","Acacia longifolia","europe","Corse","Unknown"
"290","Acacia longifolia","europe","Kriti","Unknown"
"291","Acacia longifolia","europe","Czechoslovakia","Unknown"
"292","Acacia longifolia","europe","Denmark","Unknown"
"293","Acacia longifolia","europe","Faroer","Unknown"
"294","Acacia longifolia","europe","Finland","Unknown"
"295","Acacia longifolia","europe","France","Unknown"
"296","Acacia longifolia","europe","Germany","Unknown"
"297","Acacia longifolia","europe","Greece","Unknown"
"298","Acacia longifolia","europe","Ireland","Unknown"
"299","Acacia longifolia","europe","Switzerland","Unknown"
"300","Acacia longifolia","europe","Netherlands","Unknown"
"301","Acacia longifolia","europe","Spain","Unknown"
"302","Acacia longifolia","europe","Hungary","Unknown"
"303","Acacia longifolia","europe","Iceland","Unknown"
"304","Acacia longifolia","europe","Italy","Unknown"
"305","Acacia longifolia","europe","Jugoslavia","Unknown"
"306","Acacia longifolia","europe","Portugal","Unknown"
"307","Acacia longifolia","europe","Norway","Unknown"
"308","Acacia longifolia","europe","Poland","Unknown"
"309","Acacia longifolia","europe","Romania","Unknown"
"310","Acacia longifolia","europe","USSR","Unknown"
"311","Acacia longifolia","europe","Sardegna","Unknown"
"312","Acacia longifolia","europe","Svalbard","Unknown"
"313","Acacia longifolia","europe","Sicilia","Unknown"
"314","Acacia longifolia","europe","Sweden","Unknown"
"315","Acacia longifolia","europe","Turkey","Unknown"
"316","Acacia longifolia","europe","USSR_Northern_Division","Unknown"
"317","Acacia longifolia","europe","USSR_Baltic_Division","Unknown"
"318","Acacia longifolia","europe","USSR_Central_Division","Unknown"
"319","Acacia longifolia","europe","USSR_South_western","Unknown"
"320","Acacia longifolia","europe","USSR_Krym","Unknown"
"321","Acacia longifolia","europe","USSRSouth_eastern_Division","Unknown"
"322","Acacia longifolia","america","Continental US","Unknown"
"323","Acacia longifolia","america","Alaska","Unknown"
"324","Acacia longifolia","america","Canada","Unknown"
"325","Acacia longifolia","america","Caribbean Territories","Unknown"
"326","Acacia longifolia","america","Central Pacific Territories","Unknown"
"327","Acacia longifolia","america","Hawaii","Unknown"
"328","Acacia longifolia","america","Mexico","Unknown"
"329","Acacia longifolia","europe","Albania","Unknown"
"330","Acacia longifolia","europe","Austria","Unknown"
"331","Acacia longifolia","europe","Azores","Unknown"
"332","Acacia longifolia","europe","Belgium","Unknown"
"333","Acacia longifolia","europe","Islas_Baleares","Unknown"
"334","Acacia longifolia","europe","Britain","Unknown"
"335","Acacia longifolia","europe","Bulgaria","Unknown"
"336","Acacia longifolia","europe","Corse","Unknown"
"337","Acacia longifolia","europe","Kriti","Unknown"
"338","Acacia longifolia","europe","Czechoslovakia","Unknown"
"339","Acacia longifolia","europe","Denmark","Unknown"
"340","Acacia longifolia","europe","Faroer","Unknown"
"341","Acacia longifolia","europe","Finland","Unknown"
"342","Acacia longifolia","europe","France","Unknown"
"343","Acacia longifolia","europe","Germany","Unknown"
"344","Acacia longifolia","europe","Greece","Unknown"
"345","Acacia longifolia","europe","Ireland","Unknown"
"346","Acacia longifolia","europe","Switzerland","Unknown"
"347","Acacia longifolia","europe","Netherlands","Unknown"
"348","Acacia longifolia","europe","Spain","Unknown"
"349","Acacia longifolia","europe","Hungary","Unknown"
"350","Acacia longifolia","europe","Iceland","Unknown"
"351","Acacia longifolia","europe","Italy","Unknown"
"352","Acacia longifolia","europe","Jugoslavia","Unknown"
"353","Acacia longifolia","europe","Portugal","Unknown"
"354","Acacia longifolia","europe","Norway","Unknown"
"355","Acacia longifolia","europe","Poland","Unknown"
"356","Acacia longifolia","europe","Romania","Unknown"
"357","Acacia longifolia","europe","USSR","Unknown"
"358","Acacia longifolia","europe","Sardegna","Unknown"
"359","Acacia longifolia","europe","Svalbard","Unknown"
"360","Acacia longifolia","europe","Sicilia","Unknown"
"361","Acacia longifolia","europe","Sweden","Unknown"
"362","Acacia longifolia","europe","Turkey","Unknown"
"363","Acacia longifolia","europe","USSR_Northern_Division","Unknown"
"364","Acacia longifolia","europe","USSR_Baltic_Division","Unknown"
"365","Acacia longifolia","europe","USSR_Central_Division","Unknown"
"366","Acacia longifolia","europe","USSR_South_western","Unknown"
"367","Acacia longifolia","europe","USSR_Krym","Unknown"
"368","Acacia longifolia","europe","USSRSouth_eastern_Division","Unknown"
"369","Acacia saligna","america","Continental US","Unknown"
"370","Acacia saligna","america","Alaska","Unknown"
"371","Acacia saligna","america","Canada","Unknown"
"372","Acacia saligna","america","Caribbean Territories","Unknown"
"373","Acacia saligna","america","Central Pacific Territories","Unknown"
"374","Acacia saligna","america","Hawaii","Unknown"
"375","Acacia saligna","america","Mexico","Unknown"
"376","Acacia saligna","europe","Albania","Unknown"
"377","Acacia saligna","europe","Austria","Unknown"
"378","Acacia saligna","europe","Azores","Unknown"
"379","Acacia saligna","europe","Belgium","Unknown"
"380","Acacia saligna","europe","Islas_Baleares","Unknown"
"381","Acacia saligna","europe","Britain","Unknown"
"382","Acacia saligna","europe","Bulgaria","Unknown"
"383","Acacia saligna","europe","Corse","Unknown"
"384","Acacia saligna","europe","Kriti","Unknown"
"385","Acacia saligna","europe","Czechoslovakia","Unknown"
"386","Acacia saligna","europe","Denmark","Unknown"
"387","Acacia saligna","europe","Faroer","Unknown"
"388","Acacia saligna","europe","Finland","Unknown"
"389","Acacia saligna","europe","France","Unknown"
"390","Acacia saligna","europe","Germany","Unknown"
"391","Acacia saligna","europe","Greece","Unknown"
"392","Acacia saligna","europe","Ireland","Unknown"
"393","Acacia saligna","europe","Switzerland","Unknown"
"394","Acacia saligna","europe","Netherlands","Unknown"
"395","Acacia saligna","europe","Spain","Unknown"
"396","Acacia saligna","europe","Hungary","Unknown"
"397","Acacia saligna","europe","Iceland","Unknown"
"398","Acacia saligna","europe","Italy","Unknown"
"399","Acacia saligna","europe","Jugoslavia","Unknown"
"400","Acacia saligna","europe","Portugal","Unknown"
"401","Acacia saligna","europe","Norway","Unknown"
"402","Acacia saligna","europe","Poland","Unknown"
"403","Acacia saligna","europe","Romania","Unknown"
"404","Acacia saligna","europe","USSR","Unknown"
"405","Acacia saligna","europe","Sardegna","Unknown"
"406","Acacia saligna","europe","Svalbard","Unknown"
"407","Acacia saligna","europe","Sicilia","Unknown"
"408","Acacia saligna","europe","Sweden","Unknown"
"409","Acacia saligna","europe","Turkey","Unknown"
"410","Acacia saligna","europe","USSR_Northern_Division","Unknown"
"411","Acacia saligna","europe","USSR_Baltic_Division","Unknown"
"412","Acacia saligna","europe","USSR_Central_Division","Unknown"
"413","Acacia saligna","europe","USSR_South_western","Unknown"
"414","Acacia saligna","europe","USSR_Krym","Unknown"
"415","Acacia saligna","europe","USSRSouth_eastern_Division","Unknown"
"416","Acer rubrum","america","Continental US","Unknown"
"417","Acer rubrum","america","Alaska","Unknown"
"418","Acer rubrum","america","Canada","Unknown"
"419","Acer rubrum","america","Caribbean Territories","Unknown"
"420","Acer rubrum","america","Central Pacific Territories","Unknown"
"421","Acer rubrum","america","Hawaii","Unknown"
"422","Acer rubrum","america","Mexico","Unknown"
"423","Acer rubrum","europe","Albania","Unknown"
"424","Acer rubrum","europe","Austria","Unknown"
"425","Acer rubrum","europe","Azores","Unknown"
"426","Acer rubrum","europe","Belgium","Unknown"
"427","Acer rubrum","europe","Islas_Baleares","Unknown"
"428","Acer rubrum","europe","Britain","Unknown"
"429","Acer rubrum","europe","Bulgaria","Unknown"
"430","Acer rubrum","europe","Corse","Unknown"
"431","Acer rubrum","europe","Kriti","Unknown"
"432","Acer rubrum","europe","Czechoslovakia","Unknown"
"433","Acer rubrum","europe","Denmark","Unknown"
"434","Acer rubrum","europe","Faroer","Unknown"
"435","Acer rubrum","europe","Finland","Unknown"
"436","Acer rubrum","europe","France","Unknown"
"437","Acer rubrum","europe","Germany","Unknown"
"438","Acer rubrum","europe","Greece","Unknown"
"439","Acer rubrum","europe","Ireland","Unknown"
"440","Acer rubrum","europe","Switzerland","Unknown"
"441","Acer rubrum","europe","Netherlands","Unknown"
"442","Acer rubrum","europe","Spain","Unknown"
"443","Acer rubrum","europe","Hungary","Unknown"
"444","Acer rubrum","europe","Iceland","Unknown"
"445","Acer rubrum","europe","Italy","Unknown"
"446","Acer rubrum","europe","Jugoslavia","Unknown"
"447","Acer rubrum","europe","Portugal","Unknown"
"448","Acer rubrum","europe","Norway","Unknown"
"449","Acer rubrum","europe","Poland","Unknown"
"450","Acer rubrum","europe","Romania","Unknown"
"451","Acer rubrum","europe","USSR","Unknown"
"452","Acer rubrum","europe","Sardegna","Unknown"
"453","Acer rubrum","europe","Svalbard","Unknown"
"454","Acer rubrum","europe","Sicilia","Unknown"
"455","Acer rubrum","europe","Sweden","Unknown"
"456","Acer rubrum","europe","Turkey","Unknown"
"457","Acer rubrum","europe","USSR_Northern_Division","Unknown"
"458","Acer rubrum","europe","USSR_Baltic_Division","Unknown"
"459","Acer rubrum","europe","USSR_Central_Division","Unknown"
"460","Acer rubrum","europe","USSR_South_western","Unknown"
"461","Acer rubrum","europe","USSR_Krym","Unknown"
"462","Acer rubrum","europe","USSRSouth_eastern_Division","Unknown"
"463","Acer saccharinum","america","Continental US","Unknown"
"464","Acer saccharinum","america","Alaska","Unknown"
"465","Acer saccharinum","america","Canada","Unknown"
"466","Acer saccharinum","america","Caribbean Territories","Unknown"
"467","Acer saccharinum","america","Central Pacific Territories","Unknown"
"468","Acer saccharinum","america","Hawaii","Unknown"
"469","Acer saccharinum","america","Mexico","Unknown"
"470","Acer saccharinum","europe","Albania","Unknown"
"471","Acer saccharinum","europe","Austria","Unknown"
"472","Acer saccharinum","europe","Azores","Unknown"
"473","Acer saccharinum","europe","Belgium","Unknown"
"474","Acer saccharinum","europe","Islas_Baleares","Unknown"
"475","Acer saccharinum","europe","Britain","Unknown"
"476","Acer saccharinum","europe","Bulgaria","Unknown"
"477","Acer saccharinum","europe","Corse","Unknown"
"478","Acer saccharinum","europe","Kriti","Unknown"
"479","Acer saccharinum","europe","Czechoslovakia","Unknown"
"480","Acer saccharinum","europe","Denmark","Unknown"
"481","Acer saccharinum","europe","Faroer","Unknown"
"482","Acer saccharinum","europe","Finland","Unknown"
"483","Acer saccharinum","europe","France","Unknown"
"484","Acer saccharinum","europe","Germany","Unknown"
"485","Acer saccharinum","europe","Greece","Unknown"
"486","Acer saccharinum","europe","Ireland","Unknown"
"487","Acer saccharinum","europe","Switzerland","Unknown"
"488","Acer saccharinum","europe","Netherlands","Unknown"
"489","Acer saccharinum","europe","Spain","Unknown"
"490","Acer saccharinum","europe","Hungary","Unknown"
"491","Acer saccharinum","europe","Iceland","Unknown"
"492","Acer saccharinum","europe","Italy","Unknown"
"493","Acer saccharinum","europe","Jugoslavia","Unknown"
"494","Acer saccharinum","europe","Portugal","Unknown"
"495","Acer saccharinum","europe","Norway","Unknown"
"496","Acer saccharinum","europe","Poland","Unknown"
"497","Acer saccharinum","europe","Romania","Unknown"
"498","Acer saccharinum","europe","USSR","Unknown"
"499","Acer saccharinum","europe","Sardegna","Unknown"
"500","Acer saccharinum","europe","Svalbard","Unknown"
"501","Acer saccharinum","europe","Sicilia","Unknown"
"502","Acer saccharinum","europe","Sweden","Unknown"
"503","Acer saccharinum","europe","Turkey","Unknown"
"504","Acer saccharinum","europe","USSR_Northern_Division","Unknown"
"505","Acer saccharinum","europe","USSR_Baltic_Division","Unknown"
"506","Acer saccharinum","europe","USSR_Central_Division","Unknown"
"507","Acer saccharinum","europe","USSR_South_western","Unknown"
"508","Acer saccharinum","europe","USSR_Krym","Unknown"
"509","Acer saccharinum","europe","USSRSouth_eastern_Division","Unknown"
"510","Acer saccharum","america","Continental US","Unknown"
"511","Acer saccharum","america","Alaska","Unknown"
"512","Acer saccharum","america","Canada","Unknown"
"513","Acer saccharum","america","Caribbean Territories","Unknown"
"514","Acer saccharum","america","Central Pacific Territories","Unknown"
"515","Acer saccharum","america","Hawaii","Unknown"
"516","Acer saccharum","america","Mexico","Unknown"
"517","Acer saccharum","europe","Albania","Unknown"
"518","Acer saccharum","europe","Austria","Unknown"
"519","Acer saccharum","europe","Azores","Unknown"
"520","Acer saccharum","europe","Belgium","Unknown"
"521","Acer saccharum","europe","Islas_Baleares","Unknown"
"522","Acer saccharum","europe","Britain","Unknown"
"523","Acer saccharum","europe","Bulgaria","Unknown"
"524","Acer saccharum","europe","Corse","Unknown"
"525","Acer saccharum","europe","Kriti","Unknown"
"526","Acer saccharum","europe","Czechoslovakia","Unknown"
"527","Acer saccharum","europe","Denmark","Unknown"
