,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Woodiness,Woodiness_try,C3,C3,C4,Nit_fix
46,Carex stricta,Carex stricta,TRUE,NCBI,0.988,North America,,,,,,0.61,https://en.wikipedia.org/wiki/Carex_stricta,,0,non-woody,C3,1,,
47,Carpobrotus,Carpobrotus,TRUE,Catalogue of Life,0.75,,,,,,,,,,,#N/A,#N/A,,,
48,Carya laciniosa,Carya laciniosa,TRUE,NCBI,0.988,Eastern North America,,,,,,36.9,https://en.wikipedia.org/wiki/Carya_laciniosa,,1,woody,C3,1,,
49,Centairea solsititialis,Centaurea solstitialis,FALSE,Catalogue of Life,0.75,Mediterranean,,0.633640276,Native,,,1,https://en.wikipedia.org/wiki/Centaurea_solstitialis,,0,non-woody,C3,1,,
50,Centaurea diffusa,Centaurea diffusa,TRUE,NCBI,0.988,Eastern Europe and Western Asia,,0.3,Native,0.6,0.1,,https://en.wikipedia.org/wiki/Centaurea_diffusa,,0,non-woody,C3,1,,
51,Centaurea maculosa,Centaurea maculosa,TRUE,NCBI,0.988,Eastern Europe,,0.475,Native,,,0.91,https://en.wikipedia.org/wiki/Centaurea_maculosa,,0,non-woody,C3,1,,
52,Centaurea stoebe,Centaurea stoebe,TRUE,NCBI,0.988,Italy,,,,1.5,0.3,,http://www.cabi.org/isc/datasheet/12040,,0,non-woody,C3,1,,
53,Chrysanthemoides monilifera,Chrysanthemoides monilifera,TRUE,NCBI,0.988,South Africa,,,,,,3,https://en.wikipedia.org/wiki/Chrysanthemoides_monilifera,,1,woody,0,,,
54,Corema album,Corema album,TRUE,NCBI,0.988,Iberia,,,,0.7,0.3,,https://es.wikipedia.org/wiki/Corema_album,,1,woody,C3,1,,
55,Cortaderia selloana,Cortaderia selloana,TRUE,NCBI,0.988,South South America,,,,,,3,https://en.wikipedia.org/wiki/Cortaderia_selloana,,0,non-woody,C3,1,,
56,Cupania porphyria,Cupania,FALSE,Catalogue of Life,0.75,,,,,,,,,,,#N/A,#N/A,,,
57,Cynara cardunculus,Cynara cardunculus,TRUE,NCBI,0.988,Central and Western Mediterranean,,,,1.5,0.8,,https://en.wikipedia.org/wiki/Cardoon,,0,non-woody,C3,1,,
58,Cynodon dactylon,Cynodon dactylon,TRUE,NCBI,0.988,Bermuda?,Origin unsure,0.11,Unclear,0.3,0.01,,https://en.wikipedia.org/wiki/Cynodon_dactylon,,0,non-woody,C4,0,,
59,Cyperus malaccensis,Cyperus malaccensis,TRUE,uBio NameBank,0.988,,Origin unsure,,,1.5,0.5,,http://tropical.theferns.info/viewtropical.php?id=Cyperus+malaccensis,,0,non-woody,C4,0,,
60,Cytisus scoparius,Cytisus scoparius,TRUE,NCBI,0.988,Western and Central Europe,,0.991596241,Native,3,1,,https://en.wikipedia.org/wiki/Cytisus_scoparius,,1,woody,C3,1,,
61,Dactylis glomerata,Dactylis glomerata,TRUE,NCBI,0.988,"Europe, temperate Asia, Northern America",,0.321052955,Native,1.4,0.2,,https://en.wikipedia.org/wiki/Dactylis_glomerata,,0,non-woody,C3,1,,
62,Diospyros sandwicensis,Diospyros sandwicensis,TRUE,NCBI,0.988,Hawaii,,,,12,6,,https://en.wikipedia.org/wiki/Diospyros_sandwicensis,,1,woody,C3,1,,
63,Distichlis spicata,Distichlis spicata,TRUE,NCBI,0.988,Americas,,,,,,0.5,https://en.wikipedia.org/wiki/Distichlis_spicata,,0,non-woody,C4,0,,
64,Ehrharta calycina,Ehrharta calycina,TRUE,NCBI,0.988,Southern Africa,,,,0.7,0.3,,https://en.wikipedia.org/wiki/Ehrharta_calycina,,0,non-woody,C3,1,,
65,Elaeagnus umbellata,Elaeagnus umbellata,TRUE,NCBI,0.988,Eastern Asia,,,,,,3.5,https://en.wikipedia.org/wiki/Elaeagnus_umbellata,,1,woody,0,,,
66,Eleocharis smallii,Eleocharis smallii,TRUE,CU*STAR,0.988,,Origin unsure,,,0.6,0.3,,http://nativeplants.evergreen.ca/search/view-plant.php?ID=05252,,0,non-woody,C3,1,,
67,Encelia farinosa,Encelia farinosa,TRUE,NCBI,0.988,"Southwestern USA, Northern Mexico",,,,1.5,0.3,,https://en.wikipedia.org/wiki/Encelia_farinosa,,1,woody,C3,1,,
68,Epilobium hirsutum,Epilobium hirsutum,TRUE,NCBI,0.988,North Africa and Europe,,1.018971153,Native,,,2,https://en.wikipedia.org/wiki/Epilobium_hirsutum,,0,non-woody,C3,1,,
69,Eragrostis lehmanniana,Eragrostis lehmanniana,TRUE,NCBI,0.988,Southern Africa,,,,0.8,0.61,,https://en.wikipedia.org/wiki/Eragrostis_lehmanniana,,0,non-woody,C4,0,,
70,Euclea racemosa,Euclea racemosa,TRUE,NCBI,0.988,Indian Ocean coast of Africa,,,,12,1.8,,http://tropical.theferns.info/viewtropical.php?id=Euclea+racemosa,,1,woody,C3,1,,
71,Eupatorium cannabinum,Eupatorium cannabinum,TRUE,NCBI,0.988,Europe,,1,Native,,,1.5,https://en.wikipedia.org/wiki/Eupatorium_cannabinum,,0,non-woody,C3,1,,
72,Eupatorium perfoliatum,Eupatorium perfoliatum,TRUE,NCBI,0.988,Eastern North America,,,,,,1,https://en.wikipedia.org/wiki/Eupatorium_perfoliatum,,0,non-woody,C3,1,,
73,Fagus sylvatica,Fagus sylvatica,TRUE,NCBI,0.988,Europe,,30.9125408,Native,35,25,,https://en.wikipedia.org/wiki/Fagus_sylvatica,,1,woody,C3,1,,
74,Falcataria moluccana,Falcataria moluccana,TRUE,NCBI,0.988,"New Guinea, Papua New Guinea, Solomon Islands",,,,,,30,https://en.wikipedia.org/wiki/Falcataria_moluccana,,1,woody,C3,1,,
75,Fallopia japonica,Fallopia japonica,TRUE,NCBI,0.988,East Asia and Japan,,,,4,3,,https://en.wikipedia.org/wiki/Fallopia_japonica,,0,non-woody,C3,1,,
76,Festuca arundinacea,Festuca arundinacea,TRUE,NCBI,0.988,Europe,,0.6,Native,1.8,0.45,,http://www.kew.org/data/grasses-db/www/imp04400.htm,,0,non-woody,C3,1,,
77,Festuca campestris,Festuca campestris,TRUE,EOL,0.988,,Origin unsure,,,1,0.6,,http://www.kew.org/data/grasses-db/www/imp04452.htm,,0,non-woody,0,,,
78,Festuca idahoensis,Festuca idahoensis,TRUE,NCBI,0.988,Western North America,,,,1,0.4,,http://www.kew.org/data/grasses-db/www/imp04623.htm,,0,non-woody,C3,1,,
79,Festuca ovina,Festuca ovina,TRUE,NCBI,0.988,Europe and Asia,,0.134164079,Native,,,0.43,http://www.brc.ac.uk/plantatlas/index.php?q=node/1958,,0,non-woody,C3,1,,
80,Festuca rubra,Festuca rubra,TRUE,NCBI,0.988,Northern Hemisphere,,0.343414273,Native,0.9,0.15,,http://www.kew.org/data/grasses-db/www/imp04840.htm,,0,non-woody,C3,1,,
81,Ficinia,Ficinia,TRUE,Catalogue of Life,0.75,,Origin unsure,,,,,,,,,#N/A,#N/A,,,
82,Fraxinus angustifolia,Fraxinus angustifolia,TRUE,Wikispecies,0.988,"Europe, South West Asia, North Africa",,,,30,20,,https://en.wikipedia.org/wiki/Fraxinus_angustifolia,,1,woody,C3,1,,
83,Fraxinus anustifola,Fraxinus angustifolia,FALSE,Catalogue of Life,0.75,"Europe, South West Asia, North Africa",,,,30,20,,https://en.wikipedia.org/wiki/Fraxinus_angustifolia,,1,woody,C3,1,,
84,Galium palustre,Galium palustre,TRUE,NCBI,0.988,"Europe, North America, Eastern North America",,0.364732988,Native,,,0.75,https://www.brc.ac.uk/plantatlas/index.php?q=plant/galium-palustre,,0,non-woody,C3,1,,
85,Glechoma hederacea,Glechoma hederacea,TRUE,NCBI,0.988,Europe and Southwestern Asia,,0.226793316,Native,0.5,0.05,,https://en.wikipedia.org/wiki/Glechoma_hederacea,,0,non-woody,C3,1,,
86,Haloxylon persicum,Haloxylon persicum,TRUE,NCBI,0.988,Western  to Central Asia,,,,5,4.5,,https://en.wikipedia.org/wiki/Haloxylon_persicum,,1,woody,C3,1,,
87,Hedychium gardnerianum,Hedychium gardnerianum,TRUE,NCBI,0.988,Himalayas,,,,,,2.4,https://en.wikipedia.org/wiki/Hedychium_gardnerianum,,0,non-woody,C3,1,,
88,Heracleum mantegazzianum,Heracleum mantegazzianum,TRUE,NCBI,0.988,Central Asia,,3.708099244,Non-native,5.5,2,,https://en.wikipedia.org/wiki/Heracleum_mantegazzianum,,0,non-woody,C3,1,,
89,Heracleum sphondylium,Heracleum sphondylium,TRUE,Catalogue of Life,0.988,Europe and Asia,,1.013400116,Native,1.2,0.5,,https://en.wikipedia.org/wiki/Heracleum_sphondylium,,0,non-woody,C3,1,,
90,Hesperostipa comata,Hesperostipa comata,TRUE,NCBI,0.988,North America,,,,,,1,https://en.wikipedia.org/wiki/Hesperostipa_comata,,0,non-woody,C3,1,,
91,Heteropogon contortus,Heteropogon contortus,TRUE,NCBI,0.988,"Southern Africa, southern Asia, Oceania",,,,,,1.5,https://en.wikipedia.org/wiki/Heteropogon_contortus,,0,non-woody,C4,0,,
92,Impatiens glandulifera,Impatiens glandulifera,TRUE,NCBI,0.988,Himalayas,,1.310370697,Non-native,2,1,,https://en.wikipedia.org/wiki/Impatiens_glandulifera,,0,non-woody,C3,1,,
93,Kalanchoe daigremontiana,Kalanchoe daigremontiana,TRUE,NCBI,0.988,Madagascar,,,,,,1,https://en.wikipedia.org/wiki/Bryophyllum_daigremontianum,,0,non-woody,CAM,0,,
94,Kandelia obovata,Kandelia obovata,TRUE,NCBI,0.988,Southern China,,,,,,3,http://www.jstor.org/stable/3647398?seq=1#page_scan_tab_contents,,1,woody,0,,,
95,Krascheninnikovia lanata,Krascheninnikovia lanata,TRUE,NCBI,0.988,Western North America,,,,1,0.5,,https://en.wikipedia.org/wiki/Krascheninnikovia_lanata,,1,woody,0,,,
96,Lantana camara,Lantana camara,TRUE,NCBI,0.988,Central and South America,,,,,,2,https://en.wikipedia.org/wiki/Lantana_camara,,1,woody,C3,1,,
97,Ligustrum lucidum,Ligustrum lucidum,TRUE,NCBI,0.988,Southern China,,,,,,10,https://en.wikipedia.org/wiki/Ligustrum_lucidum,,1,woody,C3,1,,
98,Liriodendron tulipifera,Liriodendron tulipifera,TRUE,NCBI,0.988,North America,,,,30,25,,https://en.wikipedia.org/wiki/Liriodendron_tulipifera,,1,woody,C3,1,,
99,Lonicera maackii,Lonicera maackii,TRUE,NCBI,0.988,East and Central Asia,,,,,,6,https://en.wikipedia.org/wiki/Lonicera_maackii,,1,woody,C3,1,,
100,Lupinus luteus,Lupinus luteus,TRUE,NCBI,0.988,Southern Europe and North Africa,,0.396862697,Non-native,,,1.5,http://www.kew.org/science-conservation/plants-fungi/lupinus-polyphyllus-large-leaved-lupin,,0,non-woody,C3,1,,
101,Lythrum salicaria,Lythrum salicaria,TRUE,Catalogue of Life,0.988,"Europe, North Africa, Asia, southeastern Australia",,0.696238325,Native,2,1,,https://en.wikipedia.org/wiki/Lythrum_salicaria,,0,non-woody,C3,1,,
102,Macropiper excelsum,Macropiper excelsum,TRUE,Catalogue of Life,0.988,New Zealand,,,,3,2,,http://www.nznativeplants.co.nz/Articles/Macropiper+excelsum.html,,1,woody,0,,,
103,Maianthmum canadense,Maianthemum canadense,FALSE,Catalogue of Life,0.75,North America,,,,0.25,0.1,,https://en.wikipedia.org/wiki/Maianthemum_canadense,,0,non-woody,C3,1,,
104,Melaleuca quinquenervia,Melaleuca quinquenervia,TRUE,NCBI,0.988,"New Caledonia, Papua New Guinea, Eastern Australia",,,,,,20,https://en.wikipedia.org/wiki/Melaleuca_quinquenervia,,1,woody,C3,1,,
105,Melilotus,Melilotus,TRUE,Catalogue of Life,0.75,,Origin unsure,,,,,,,,,#N/A,#N/A,,,
106,Melinis minutiflora,Melinis minutiflora,TRUE,NCBI,0.988,Africa,,,,1.5,0.75,,https://en.wikipedia.org/wiki/Melinis_minutiflora,,0,non-woody,C4,0,,
107,Metrosideros polymorpha,Metrosideros polymorpha,TRUE,NCBI,0.988,Hawaii,,,,25,20,,https://en.wikipedia.org/wiki/Metrosideros_polymorpha,,1,woody,C3,1,,
108,Microstegium vimineum,Microstegium vimineum,TRUE,NCBI,0.988,"South, East and South-East Asia",,,,1,0.4,,https://en.wikipedia.org/wiki/Microstegium_vimineum,,0,non-woody,C4,0,,
109,Mikania micrantha,Mikania micrantha,TRUE,NCBI,0.988,Subtropical Americas,,,,,,,,Species is a climbing vine. What does this mean for height?,0,non-woody,0,,,
110,Mimulus guttatus,Mimulus guttatus,TRUE,Freebase,0.988,Western North America,,0.342246116,Non-native,0.8,0.1,,https://en.wikipedia.org/wiki/Mimulus_guttatus,,0,non-woody,C3,1,,
111,Molinia caerulea,Molinia caerulea,TRUE,NCBI,0.988,"Europe, west Asia, North America",,0.74246212,Native,,,0.9,https://en.wikipedia.org/wiki/Molinia_caerulea,,0,non-woody,C3,1,,
112,Myrica cerifera,Myrica cerifera,TRUE,Freebase,0.988,North and Central America,,,,9,3,,http://plants.usda.gov/factsheet/pdf/fs_mypu.pdf,,1,woody,0,,,
113,Myrica faya,Myrica faya,TRUE,Freebase,0.988,"Azores, Madeira, Canary Islands",,,,8,3,,https://en.wikipedia.org/wiki/Myrica_faya,,1,woody,C3,1,,
114,Nassella pulchra,Nassella pulchra,TRUE,NCBI,0.988,California,,,,,,1,https://en.wikipedia.org/wiki/Nassella_pulchra,,0,non-woody,0,,,
115,Nassella viridula,Nassella viridula,TRUE,NCBI,0.988,North America,,,,,,1.2,https://en.wikipedia.org/wiki/Nassella_viridula,,0,non-woody,0,,,
116,Opuntia caracassana,Opuntia caracassana,TRUE,NCBI,0.988,,Origin unsure,,,2,1,,https://de.wikipedia.org/wiki/Opuntia_caracassana,,0,non-woody,#N/A,,,
117,Oryzopsis hymenoides,Oryzopsis hymenoides,TRUE,Freebase,0.988,Western North America,,,,61,10,,https://en.wikipedia.org/wiki/Oryzopsis_hymenoides,,0,non-woody,C3,1,,
118,Oxalis pes-caprae,Oxalis pes-caprae,TRUE,NCBI,0.988,South Africa,,0.2,Non-native,0.3,0.15,,http://keyserver.lucidcentral.org/weeds/data/080c0106-040c-4508-8300-0b0a06060e01/media/html/Oxalis_pes-caprae.htm,,0,non-woody,C3,1,,
119,Panicum virgatum,Panicum virgatum,TRUE,NCBI,0.988,North America,,,,,,2.7,https://en.wikipedia.org/wiki/Panicum_virgatum,,0,non-woody,C4,0,,
120,Parthenium hysterophorus,Parthenium hysterophorus,TRUE,NCBI,0.988,American tropics,,,,0.9,0.3,,http://www.cabi.org/isc/datasheet/45573,,0,non-woody,C3/C4,1,,
121,Pascopyrum smithii,Pascopyrum smithii,TRUE,NCBI,0.988,North America,,,,0.9,0.3,,http://plants.usda.gov/factsheet/pdf/fs_pasm.pdf,,0,non-woody,C3,1,,
122,Paspalum quadrifarium,Paspalum quadrifarium,TRUE,NCBI,0.988,Southern South America,Origin unsure,,,,,2,http://keyserver.lucidcentral.org/weeds/data/03030800-0b07-490a-8d04-0605030c0f01/media/Html/Paspalum_quadrifarium.htm,,0,non-woody,C4,0,,
123,Paspulum conjugatum,Paspalum conjugatum,FALSE,Catalogue of Life,0.75,South America,Origin unsure,,,,,0.3,http://www.cabi.org/isc/datasheet/38951,,0,non-woody,C4,0,,
124,Pelargonium capitatum,Pelargonium capitatum,TRUE,NCBI,0.988,South Africa,,,,,,1,https://en.wikipedia.org/wiki/Pelargonium_capitatum,,0,non-woody,0,,,
125,Pennisetum ciliare,Pennisetum ciliare,TRUE,EOL,0.988,"Africa, Southern Asia",,,,,,0.5,https://en.wikipedia.org/wiki/Cenchrus_ciliaris,,0,non-woody,C4,0,,
126,Pennisetum clandestinum,Pennisetum clandestinum,TRUE,Freebase,0.988,East Africa,,,,,,0.15,http://www.cabi.org/isc/datasheet/39765,,0,non-woody,C4,0,,
127,Pennisetum polystachion,Pennisetum polystachion,TRUE,EOL,0.988,Tropical Africa,,,,3,0.3,,http://www.cabi.org/isc/datasheet/39770,,0,non-woody,C4,0,,
128,Pennisetum setaceum,Pennisetum setaceum,TRUE,Union 4,0.988,"Tropical Africa, Middle East, SW Asia",,,,,,0.9,https://en.wikipedia.org/wiki/Pennisetum_setaceum,,0,non-woody,C4,0,,
129,Petasites hybridus,Petasites hybridus,TRUE,NCBI,0.988,Europe and Northern Asia,,0.575,Native,1.2,0.8,,https://en.wikipedia.org/wiki/Petasites_hybridus,,0,non-woody,C3,1,,
130,Phalaris arundinacea,Phalaris arundinacea,TRUE,NCBI,0.988,"Europe, Asia, North Africa, North America",,1.45,Native,,,2,https://en.wikipedia.org/wiki/Phalaris_arundinacea,,0,non-woody,C3,1,,
131,Phragmites australis,Phragmites australis,TRUE,NCBI,0.988,Unsure,,2.5,Unclear,,,2,http://www.arkive.org/common-reed/phragmites-australis/,,0,non-woody,C3,1,,
132,Pilosella officinarum,Pilosella officinarum,TRUE,NCBI,0.988,Europe and Northern Asia,,,,0.5,0.05,,https://en.wikipedia.org/wiki/Hieracium_pilosella,,0,non-woody,C3,1,,
133,Pinus pinaster,Pinus pinaster,TRUE,NCBI,0.988,Western Mediterranean,,30,Non-native,35,20,,https://en.wikipedia.org/wiki/Pinus_pinaster,,1,woody,C3,1,,
134,Planchonella samoensis,Planchonella samoensis,TRUE,uBio NameBank,0.988,,Origin unsure,,,,,40,http://www.pngplants.org/PNGtrees/TreeDescriptions/Planchonella_torricellensis_K_Schum_H_J_.html,,1,woody,#N/A,,,
135,Pleuraphis jamesii,Pleuraphis jamesii,TRUE,Freebase,0.988,South Western USA,,,,,,0.6,https://en.wikipedia.org/wiki/Hilaria_jamesii,,0,non-woody,C4,0,,
136,Pluchea sericea,Pluchea sericea,TRUE,NCBI,0.988,Southern USA andNorthern Mexico,,,,,,3.65,http://southwestdesertflora.com/WebsiteFolders/All_Species/Asteraceae/Pluchea_sericea.html,,1,woody,#N/A,,,
137,Poa cita,Poa cita,TRUE,NCBI,0.988,,Origin unsure,,,,,0.7,https://www.southernwoods.co.nz/shop/poa-cita/,,0,non-woody,C3,1,,
138,Poa pratensis,Poa pratensis,TRUE,NCBI,0.988,"Europe, North America, Asia, North Africa",,0.3,Native,0.7,0.3,,https://en.wikipedia.org/wiki/Poa_pratensis,,0,non-woody,C3,1,,
139,Poplus alba,Populus alba,FALSE,Catalogue of Life,0.75,Europe and Northern Africa,,23.23790008,Native,27,16,,https://en.wikipedia.org/wiki/Populus_alba,,1,woody,C3,1,,
140,Populus deltoides,Populus deltoides,TRUE,Catalogue of Life,0.988,Eastern North America,,,,40,20,,https://en.wikipedia.org/wiki/Populus_deltoides,,1,woody,C3,1,,
141,Populus,Populus,TRUE,Catalogue of Life,0.75,,,,,,,,,,,#N/A,#N/A,,,
142,Propsopis juliflora,Propsopis juliflora,TRUE,EOL,0.988,"Mexico, South America and Carribean",,,,,,12,https://en.wikipedia.org/wiki/Prosopis_juliflora,,1,woody,#N/A,,,
143,Prosopis cineraria,Prosopis cineraria,TRUE,NCBI,0.988,Western Asia and Indian subcontinent,,,,5,3,,https://en.wikipedia.org/wiki/Prosopis_cineraria,,1,woody,C3,1,,
